SchoolingRate,Poverty,UnaccountedWater,OpenEstablishments,RenewableResources,PassengersArriving,MaritimeTraffic,VehicleRegistration,year,y
NA,NA,0.268937154553063,NA,NA,NA,NA,NA,2000,
NA,NA,0.289370484678842,NA,NA,NA,NA,NA,2001,
NA,NA,0.345454393242882,NA,NA,NA,NA,NA,2002,
NA,NA,0.135696481452749,NA,NA,NA,NA,NA,2003,
NA,NA,0.350212837835947,NA,NA,NA,NA,NA,2004,
NA,NA,0.300015457248727,NA,NA,NA,NA,NA,2005,
NA,NA,0.740252465347468,NA,NA,0.539634441051694,0.197809866555226,NA,2006,
NA,NA,0.6260940640793,NA,NA,0.575474860133046,0.231801463875782,NA,2007,
NA,NA,0,NA,NA,0.546400677791924,0.114771025970812,NA,2008,
NA,NA,0.30826520885199,0.201057377585995,NA,0.491625196366845,0.0492724237125156,NA,2009,
0.0857142857142849,NA,0.538327492432989,0.178654472218289,0,0.505482246989817,0.0668395416867841,NA,2010,
0.228571428571428,NA,0.702875669559377,0.0944464279468287,0.202126684389037,0.567975934044519,0.10624054140683,NA,2011,
0.457142857142856,NA,0.815516928215165,0.0919788926264519,0.264552204601705,0.559442072620711,0.0566252753896027,NA,2012,
0.114285714285712,NA,0.766418935060871,0.0964773414400024,0.269777248143735,0.577535064308042,0.164322896591458,NA,2013,
0.114285714285712,0.243323442136498,0.779518382898881,0.0541695459526252,0.391053258777157,0.608175529085555,0.245635860899342,NA,2014,
0,0,0.77326949345204,0.0372835672366548,0.491979099825832,0.650146160514485,0.373200077900263,0.578006821889367,2015,0.47
0.428571428571429,0.504451038575668,0.786306743047201,0.0612050627802821,0.299477495645797,0.769808587880075,0.590339454454718,0.879504671511197,2016,0.35
0.399999999999998,0.138476755687438,1,0.0748470735938813,0.362453020441837,0.840152865030393,0.657620735264881,0.965408571852291,2017,0.68
0.685714285714283,0.925816023738872,0.933966707700023,0,0.0704005866715556,0.881970124842532,0.733972629417898,1,2018,0.8
0.914285714285711,1,0.718189616415493,0.00709380425217276,0.297277477312311,0.909555615174227,0.806930587619538,0.794861337683524,2019,0.75
1,0.657764589515331,0.153190021137617,1,0.478228985241544,0,0,0,2020,0.49
0.457142857142856,0.421364985163205,0.484186876382556,0.390883173964627,0.746356219635164,0.371114391861121,0.512337251337896,0.128244104997775,2021,0.41
0.599999999999998,0.504451038575668,0.648452665370229,0.0461838884489565,1,0.898964961279741,0.889613399656752,0.379875426368085,2022,0.55
0.714285714285714,0.527860204418068,0.428609854296801,0.00744222140455053,0.741528401625569,1,1,0.485874239952543,2023,0.62
0.590476190476189,0.48455874271898,0.520416465349862,0.148169761272711,0.829294873753578,0.756693117713621,0.800650216998216,0.331331257106134,2024,0.49
